
rails — 4.0 CPU, 1 process, load concurrency 32
 threads      rps  vs 1 thread  cores used  CPU ms/req     p50      p99   mem MB
       1      462        1.00x        0.48       1.041    1.32   449.39     90.6
       2      512        1.11x        0.70       1.358    2.91   476.23     89.2
       3      383        0.83x        0.71       1.855    6.85   687.04     88.9
       5      362        0.78x        0.74       2.040   12.47   756.86    108.7
      10      425        0.92x        0.81       1.915   23.53   662.01    100.5

rails-bare — 4.0 CPU, 1 process, load concurrency 32
 threads      rps  vs 1 thread  cores used  CPU ms/req     p50      p99   mem MB
       1     2107        1.00x        0.29       0.138    0.26    92.35     41.5
       2     1755        0.83x        0.54       0.309    0.85   142.56     43.5
       3     1105        0.52x        0.60       0.546    2.29   267.40     55.6
       5      755        0.36x        0.62       0.828    6.28   352.61     43.1
      10      880        0.42x        0.68       0.777   11.37   292.82     44.3
